Content,Author,Date Created,Last Changed
"inşaat ya resulullah temsilcisi bakan. kanal istanbul'u destekleyen, deprem sonrası 20 yıllık hükümetlerinde ilk defa deprem kelimesini duymuşçasına hareket eden, istanbul'un deprem stratejisini ""her iki yakada yeni 500biner nüfuslu yerleşimler kuracağız, ama kesinlikle şehrin yoğunluğunu arttırmayacağız"" diyerek çocuk kandıran, stratejilerini inşaatçı sevindiren vaatlerden oluşturan, yarısı bizden kampanyasının detaylarını bile sunmayan, başvuru bitimi üzerine 1 ay geçmesine rağmen hala kampanya ile ilgili bakanlık çalışanlarını, insanları bilgilendirmeyen; deprem olmasaydı 4-5 yıl önceki gibi yeniden imar barışı çıkartacak kişi. nasıl bir liyakata (bkz cv'si) sahip olduğu tartışılır kişi için tutup da çok iyi adam, çok liyakatli, aşırı bilgili, istanbul'un yeni başkanı olsun demek aktroll'lüktür. şu anki belediye zaten karma anlayışla yönetiliyor, kaçbin yıllık refah+akp izlerini taşıyan belediye, dışarıdan yeni bir insan ve yeni bir anlayış da eklenerek çalışmaya çalışıyor. bazı noktalarda iş çözümlenemese fikir anlayışından(eski çalışanlar, eski müdürler, meclis çoğunluğu vs), en azından demokratiğimsi bir ortam mevcut iken belediyede, tutup da akp'ye geri vermek ve bunu da murat kurum üzerinden yapmak bana ihanet geliyor. en azından yerel belediyeler karmamsı kalabilsin, en azından yerel belediyelerde salt torpil ve koltuğa yapışan anlayıştan bir nebze kurtulunabilsin. benim derdim akp kötüdür, chp iyidir mantalitesinden çok, gücün tek bir yerde bu kadar uzun süre kalınmasından vazgeçilmesi... gerçi murat kurumdan daha kötüsü var: (bkz: tevfik göksu)",nickim ne olsun bilmem ki,20.06.2023 17:12,null
"akp'nin istanbul adayı olursa sonu binali yıldırım'dan farksız olacaktır. bakmayın burada ""kılıçdaroğlu kalırsa kendisine oy veririm"" diyenlere. trol olduğunuzu bu kadar belli etmeyin. karşısına kim çıkarsa çıksın imamoğlu yine istanbul'u kazanacaktır.",mutlubey,14.07.2023 02:17,null
"kentlerin tüm bütçesini ve planını cami odaklı yapmayı planlayan bir saray bakanı.mimar ve kent planlamacı arkadaşlar için yazıyorum sakın ha sakın bu şahış gibi niteliksiz ve duygu sömürüsü içeren projelerle hocalarınızın ya da müşterilerinizin karşısına çıkmayın. direkt suratınıza tükürürler.bu şahış bursu yetmeyen, kalacak yer bulamayan, aç yatan evine eşya alamayan, çatlak telefonla sabreden her gençten sorumludur. kasıtlı şekilde sorumluluklarını art niyeli şekilde bir parti programnı adına alet etmektedir. bütçenizi ve sahip olmanız gereken imkanları kasıtlı biçimde farklı yerlere aktarmaktadır. ilerde görevini kötü kullanma ile yargılanması çok muhtemeldir.tanım: kent planlamacılar ve mimarların işini yapması yönünde en büyük engellerden. koskaca bir meslek alanını islamcı propaganda amacıyla kullanamaya cüret eden kütle.",sesame,08.10.2021 18:24,null
"gerçek bir akape rüyası - demek herkes beton ve toki bakanı olabilir, vasfı ne olursa olsun. yeter ki akapeli olsun.",carsamba,11.10.2021 02:24,null
2022 butce gorusmelerine genel baskani tarafindan ozel olarak calistirilmis burokrat.,detaylardabogulan,11.12.2021 22:18,null
bugün kendi bakanlığıyla ilgili bütçe görüşmeleri sırasında terbiye özürlü birisi olduğunu büyük bir başarıyla kanıtlamıştır.,arzawa,11.12.2021 22:51,null
"oturduğu makam kendisine iki gömlek büyük gelen kişi. oturduğu makam dediğim de eskisi gibi yetkisi olan bakanlık değil, her şeyde cb'nın ağzına bakan bir bakanlık bu arada.dün sel bölgesinde yapılan konutlarda indirim isteyen vatandaşa gülmüştü rte ve karaismailoğlu'yla birlikte bugün de kılıçdaroğluna hain diyen çocuğa gülmüşler.murat kurum diyince benim aklıma karabekir'i anma töreninin siyasi bir programa dönüşmesine tepki gösteren karabekir'in torununu törenden kovdurması geliyor.",iyotsuz tuz,30.01.2022 15:40,null
ismi herkesin malumu çok okunan bir haber sitesinde sürekli haber yapılıp parlatılmaya çalışılan bir bakanımız.,efe25,26.03.2022 17:17,null
"badem bıyıkları ve kaju dudakları ile muhafazakar erkek çekiciliğinin sembollerinden biri. aslında ilki de diyebilirdim lakin erkek cazibesi sözkonusu olduğunda kusura bakmayın ama akla hemen bekir bozdağ ve dr. i. melih gökçek gelir. ki bu üstadlar kalpleri ısıtan gülüşleri ile de yakışıklılığın kitabını yazmıştır.lakin bekir beyin tok, i. melih beyin de hey sexy lady tarzı tekno shaggy sesi varken murat kurum maalesef megafona ihtiyaç duymaktadır. bu gerçeği de görmezden gelemeyiz.",altay,26.03.2022 18:05,null
imar barışı saçmalığının mimarı. ileride yaşanacak bir afet sonrası oluşabilecek yıkımda akla gelecek ilk kişi olacak yüksek ihtimalle.,maksimum kablo kuvveti,26.03.2022 18:10,null
"tv'de kanal değiştirirken denk gelip, '' ne yapmış bu pakiler yine '' diyerek dikkatimi verdiğimde çevre ve şehircilik bakanı olduğunu öğrendiğim kişi.bıyık-mimik kombinasyonuna 5 dakika katlanamadım. umarım tekrar denk gelmeyiz.",herseyyeni,13.04.2022 20:51,null
çevre ve şehircilik bakanı değil bir mütehit gibi adeta...,huzur istiyorum ama nerdee,13.04.2022 21:15,null
"bu herif benim hemşehrimmiş :) kim diye baktım çevre ve şehircilik bakanıymış. bak bak mesaja bak;“kıymetli hemşehrim;bugün saat 19.30'da sancaktepe kadir topbaş kültür merkezinde gerçekleştireceğimiz ""tokatlılar buluşması"" programımıza istanbul'da yaşayan tüm tokatlı hemşehrilerimizi bekliyoruz.'daha fazla tokatlı görmek istesem akrabalarımı ziyaret ederim hiç değilse muhalifler.",kitapokuyombenyea,30.04.2023 11:40,null
benim numaramı kime sordun da aldın denyo dedirten siyasilerden. engelleyin gitsin,victory 33,30.04.2023 11:41,null
calls blacklist aplikasyonu ile vedalaşabileceğiniz şahıs.,alcatel,30.04.2023 11:45,null
sürekli mesajlar atıyor. yorulduk.kimdir nedir tanımıyorum.,desiderobenim,30.04.2023 17:04,null
bugün pankartını gördüm istanbulda riskli yapılar yenilene kadar mı ne durmayacağız demiş yav 20 senedir nerdeydiniz :dd,kolerans,30.04.2023 18:21,null
iznim dışında mesaj attığı gerekçesiyle cimer'e şikayet yazdığım şahıs.tabii körler sağırlar birbirini ağırlar ama benimki bir umut işte.kimsin ve numaramı nereden aldın kardeşim? mesaj atabilirsin diyen oldu mu? bu ne hadsizlik? bana ne katılacağın programdan senin.,bunickuygunmudur,30.04.2023 23:59,null
yalama medya tarafından acayip şekilde parlatılan kişi...çok ilginç...,darkfaces,01.05.2023 00:02,null
"lütfen sms atma, rahatsız etme, düş yakamızdantanım: toki bakanı",500t yolcusu,01.05.2023 00:46,null
bıyığını kesse kıraathaneye bile girerken kimlik gösterecek tipiyle sert adam ayağı çekmesi komik oluyor.edit: #151957811,avedis,01.05.2023 03:14,06.01.2024 22:57
ysk seçim aday listesinde mesleğine bakan yazdırmış.umarım uzaktan bakar mesleği olan bakanlığa.(maalesef mv seçilmesi garanti.)(bkz: #151500051),yorganadam,01.05.2023 03:28,11:54
iklim kanunu getirtiyormuş. bakalım hayat eve böyle sığınca anlayacak mı bazıları bir şeyleri.,ketender tepetopuzu,25.08.2023 12:06,null
"2024-2029 arası ibb başkanı olup erdoğan desteğiyle istanbul’u dönüştürmeyi başarırsa yüzbinlerce insanın hayatını kurtaracaktır. allah korusun büyük bir deprem olsa, istanbul’un bazı mahallelerinde kilometrekareler yıkıntılarla kapanacaktır. kurtarma ve yardım ekipleri giremeyecektir. türkiye’nin en acil önceliği bu.",la galibe illallah,01.10.2023 10:54,null
"korkudan kesemediği bıyığı ile 76'lı olup, 56'lı gösteren kişi. aynı zamanda temsilcisi olduğu partinin hayallerini süsleyen istanbul'u gasp etme+ mülkiyetine el koyma+ araplara satma arzusunun hayata geçirilmesinde yer alan kişi: https://www.gazeteduvar.com.tr/…iyor-makale-1644909",anotherstar,31.10.2023 08:26,null
eyüp aksu tarafından ibb başkan adayı olduğu söylenen kişi.,ergenist,07.11.2023 19:49,null
"ya buna ibb başkan adayı olsun diye küçük bir grup pr yapıyor,bayılıyorum onlara.bugün yine twitter da gördüm.keşke aday yapsalar",fountainvefountain,22.11.2023 21:44,null
"akp tarafından istanbul büyükşehir belediyesi başkan adayı olarak açıklanması beklenen eski şehircilik bakanı. maraş depreminde yıkılan binalar ile ilgili hesap sorulmadan, devasa bir deprem bekleyen ve büyük yıkım riski yaşama riski olan bir şehrin başına getirilmek istenmesi büyük bir ayıptır.",emiroz,30.11.2023 18:34,null
"akp kendisini aday gösterirse tevfik göksu'ya göre kazanma ihtimali yüksektir. esenler belediye başkanı gibi toplumun seküler, kürt ve alevi kesimini aleni olarak hedef alan, kutuplaştırıcı bir söylemi ve dili yok. tevfik göksu ülkedeki trabzonluları dahi yunan, rum ilan etmişti. tevfik göksu gibi bir profil ibb adayı olursa karşı bloktaki oylar tamamen konsolide olarak hedepçilerden tutun zafer partililere kadar seçmen gider ekrem imamoğlu'na oy verir. yani kendisi tevfik göksu ile karşılaştırıldığında kendisi jean-jacques rousseau falan kalır.",alejandrogonzalesinarritu,04.12.2023 12:58,null
"""5 senede istanbul'u yeniliyoruz"" sloganıyla kentsel dönüşüm rüzgarını arkasına alıp ibb reisi seçilecek siyasetçidir. çevremde dolu bina yıkılıp yenileniyor. sırf bu dalgayla ibb reisliğini alır diyorum.",eskortlarla yasiyorum,11.12.2023 12:07,null
eğer aday olursa kesin seçilir fakat bu rteyi tatmin etmez. bu aday onun kişiliğine aykırı. rte için militan ve nefret edilen birisi olmali ki muhalefeti ezme duygusu yaşasın,camelkahverengi,20.12.2023 21:15,null
istanbul büyükşehir belediyesi yerine akp hatay büyükşehir belediye başkan adaylığı konuşulan siyasi isim..,maximus decimus meridius,22.12.2023 11:40,null
insanları dolandıran bir bakandi! bu net,pearljam,14.07.2023 02:31,null
2024 yılının 31 mart akşamı istanbul büyükşehir belediyesinin yeni belediye başkanı olacaktır.,luckys,14.08.2023 13:42,null
ibb adayı olması durumunda ekrem imamoğlu’na fark atacağını düşündüğüm bir isim. izleyip göreceğiz.,siyahelbiseliadam,15.08.2023 16:05,null
yeni ibb başkanımız olacaktır.,conchita,16.08.2023 11:33,null
"valla hangisi daha antipatik bilemiyorum, namazla reklam yapan koca göbekli teyfik mi ?yüzünde nur eksikliği had safhaya ulaşmış murat kurum denen şahıs mı ?ama olaki sonuçta bir akpli seçilirse istanbul'u araplara yağmalatacakları kesin.gelsin arsa, arazi, ev, konut, kanal istanbul satışları...",winchester brothers,16.08.2023 11:37,null
"ibb için tevfik göksu ile birlikte en çok reklam yapan kişi. hatta şu an tevfik'ten bir adım önde. tevfik ile mücadelesinde mhp'lilerin de desteği ona.bu ne kadar avantaj bilemiyorum. reklama ciddi bir kaynak ayırdıkları kesin. imamoğlu karşısında şansı yok. ibb adaylığı daha çok akp içinde yükselmek için önemli.ibb gibi bir yeri kazanablmek için -hele muhalefetteyseniz- halkla sıcak iletişim kuracak onu ikna edebilecek bir isme ihtiyacınız var.kurum muhalefet seçmeninden oy alamaz.buna ihtimal yok.akp seçmeni için bile oldukça soğuk bir yapısı var.istanbul le bir bağı da yok. 2009 kılıçdaroğlu adaylığından farklı olmaz.istanbul tartışılırken konu şehircilik dışına çıktığı anda boşa düşer.yol yapacağım, konut yapacağım diyerek de seçim kazanamaz.tevfik'in bile şansı bundan fazladır.seçime girerken anketler kaç gösteriyorsa seçimde 5 puan az düşünün.o 5 puanı seçim kampanyasında kaybedeceğinden adım kadar eminim.erdoğan da çok zorda kalmazsa aday göstermez.kaldı ki bakanlık veya farklı görev vermeyi düşündüğü isimleri milletvekili yapmazdı.1 milletvekili bile önemli şu an.",kulturshock,16.08.2023 12:17,null
yeni ibb başkan adayı fahrettin koca olacağı için boş tatavaya gerek yoktur.,hindi garsiya,16.08.2023 12:20,null
"lan o kadar sordunuz anket yaptınız olmaz dedik, karaismaioglu, soylu, kurum.bu mudur yani. lan bu 3'ü zaten basiretsizde icinden en basiretsizi seçmek. gerçi her türlü kazanacak.kazanması icin uğraşacağız. niye mi leblebi diyeyim siz anlarsınız.bundan böyle oylar akp'ye iyice yanın kömüre dönün.",thomasvitaly,16.08.2023 12:23,null
"ibb başkanı olması hayaliyle yanıp tutuşan bir kitle var. hayaller güzeldir, gerçekler acı.",alcazer,16.08.2023 12:30,null
bıyığını kesse belki destekleyebilirim bir düşünmeli bunu,taifusan,16.08.2023 12:33,null
2024 akparti ibb adayı.,notworker,19.05.2023 01:56,null
"akp'li, yalancı, kul hakkına giren klasik siyasal islamcı.",fa minor,23.05.2023 21:32,null
"montaj polemiğindeki tavrı güldürmüştür. montaj mı bimiyoruzbiliyoruzyok bilmiyoruzdevreler yandı. fahrettin hangisini dediydi, ne dediydipkk’dan emir alıyormuş. ispatla? biliyoruz diyor. ispatla! her türlü istihbarat, medya elinde. ispatlasana. pkk destek vermiş. ulan pkk kimin maşası? ne zaman ihtiyacınız olsa ortada.öyle ‘biliyoruz yeağ’ serbest ise, cumhurbaşkanı ihalelerden komisyon alıyormuş milyarlarca doları varmış diye bir montaj çakalım biz de vatandaş olarak. işid ile anlaşmış diye bir montaj yapalım. öcalan’la özerklik konuştu anlaştı diyelim. önceki seçimden sonra pkk ile anlaşıp bomba patlattı diyelim. rusya’ya antalya’daki kamu arazilerini sattı diyelim. katar’a istanbul’daki kamu arazilerini sattı diyelim. e biliyoruz. olmaz mı? e biliyoruz ayol. aaa.",sua,23.05.2023 21:40,null
"utanma, arlanmadan nasiplenememis akebeli.https://twitter.com/…?t=mgwumme0tya-drutiukywg&s=19",sagliginiz icin,23.05.2023 22:22,null
akp'nin ayaklanmış yürüyen halidir.bu adam bir de bakanlık yaptı bu ülkede. yazık.,atina gore kisneyen sahip,23.05.2023 22:23,null
"""dinci bir yalanın yalan olduğunu bilse de o yalandan menfaat ettiği sürece o yalanı devam ettirendir."" yaşar nuri öztürk",elm sokagi sakini,23.05.2023 22:37,null
sürekli cep telefonuma akşam şurda röportajım var burda programım var diye mesaj atan bakan. hacetini gidereceği saatine kadar atmasa bari diye endişelenmiyor değilim.,minik oglan,23.05.2023 22:48,null
bir cumhurbaşkanı adayının montaj videolarla rakibini karalamasını meşru gören kişi.,ulan yine mi caylak olduk,23.05.2023 23:35,null
"yazık ya yemin ediyorum yazık. haksız olduğu bir konuyu bilerek, planlı bi şekilde inanmadığı bir şeyleri savunmaya çalışması, bu gece resmen beni onun adına utandırdı. montaj mı değil mi bilmiyorum diyor. yazık cidden yazık. siktiriboktan bir videonun montaj olduğunu bilmiyorsanız sizin cumhurbaşkanlığı iletişim daire başkanlığı ne işe yarıyor ?yok montaj olduğunu biliyorsanız neden paylaştınız hiç mi utanmıyorsunuz ?ayıp yaa ama bu halka müstahak amk. bu millete deseler ki kemal beyin çocuğu dağa çıktı, askerlik yapmadı, hatta erdoğanın oğlu bilal askerlik yaparken kılıçdaroğlu'nun oğluyla dağda karşılıklı çarpıştı. gazi oldu *deseler yine inanırlar. bu millete ne desen boş",koministimam2,24.05.2023 01:48,null
"wallahi billahi pes artık.şimdi bişeler yazacağım korkuyorum başıma bir şey gelecek diye.montajlı olduğunu tespit mi ettik diyor, montajlı olup olmamasının ne önemi var diyor. bir seçim için bu kadar da şaapılmaz. (artık ben şaapılmaz diyim siz orasını doldurun)",11001,24.05.2023 08:58,null
"imamoğlu bu adamı sakız gibi çiğneyip tükürür. binali bile daha vasıflıdır benim nazarımda. gerçi mağlubiyetten sonra mersedesin içinde ağladığı anı unutamıyorum. ne zaman moralim bozulsa açar izlerim. neyse , daha güçlü bir aday rekabeti de kaliteyi de arttırır.",oyle iste hayat,05.01.2024 10:31,14:06
"cumhurbaşkanını birazcık tanıyorsam kazanamayacağı için kurum'u aday göstermez.gönlündeki aday damat, seçilme şansı olacağını düşündüğü aday yerlikaya'dır. kurum'un aday gösterilmesi ilginç bir çaresizlik göstergesi olur.",kurekci ismail,05.01.2024 10:41,null
ali yerlikaya haricinde imamoğlu'nun karşısında kimsenin şansı yoktur.,etarnik,05.01.2024 10:41,null
"murat kurum'un imamoğlu karşısında hiçbir şansı yok.bakanlığı bile vasat geçmiş bir isim, akp'lilere sorsan yarısı tanımaz bile.imamoğlu'nu ancak selçuk bayraktar zorlar.ha benim gönlümden teyfik bey geçiyor olursa güzel eğlence çıkar. *",atina gore kisneyen sahip,05.01.2024 10:42,null
tahminimce sevgi bakanlığımız bu ismi bilerek ve isteyerek ortaya attı ki toplumdaki tepkiyi bir görelim murat kurumla alabilir miyiz seçimi nabız yoklayalım diye. kendilerine burdan ben de sevgilerimi gönderiyorum çok başarılı bir aday olur %20 fark falan atar ekrem'e.,cokmugeckaldik,05.01.2024 10:44,null
"murat kurum için reisin muslukları açması lazım. kademeli emeklilikten, emekli maaşı oranlarına kadar herşeyden taviz verip halkın gözünü boyaması lazım yoksa işi zor.",gkhnwe,05.01.2024 10:46,null
akp+mhpnin düz kütük koysa %39-40 oyu var istanbulda fakat. bu arkadaşın şöyle bir sıkıntısı var kendisi ak parti teşkilatlarında en çok sevilen isim değil tevfik goksu mesela teyamullerde 1.çikan bir isimdi eğer aday teyvfik olsaydı teskilat sahada harıl harıl calisacakti birinci eksisi burda.ikincisi kurum bakanlık dönemi yarısı bizden kampanyasında fena çuvalladı özellikle istanbul'daki kentsel dönüşümde milleti sağlam kandırdılar oradan büyük bir tepki var. üçüncü tevfik goksu gibi milli görüşten gelmedigi için yrplileri konsolide edebilecek bir figür değil yrpnin istanbulda oyu %3 bu seçim ayrı aday çıkarırsa daha da artacaktır.dördüncü iç kesimdeki vatandaşlar taş yerim genede akpye veririm mantığında olsada metropoldeki vatandaşlar tam zıt kafada akp bu yüzden istanbulda 4 seçimdir kan kaybediyor. marta kadar ki süreçte ekonomik buhran daha da artacağı için burdan da bir eksi.aday ali yerlikaya olmadığı sürece çok büyük bir çekişme beklemiyorum tabiki öyle 55 45 gibi bir fark olmayacaktır. özellikle hdp'nin veyahut yrp'nin tavrı ne olacak akıbeti o gösterir özellikle yrp ve zafer partisi cumhura gidecek oyu alabilir zaferinde ulkucu aday cikartacagi soyleniyor tabi ekrem'den de koparabilir zafer ama cumhurdaki kadar olacagini sanmam. hdp aday çıkarmazasa imamoglu beklenenden daha kolay alacaktır aday çıkarırlarsa az farkla imamoglu alacaktır diye düşünüyorum. yerlikaya'yı ben dahil tüm muhalifler eleştirse de kazanma adayı kurumdan kat kat yüksek.hatta kazanacak tek kişi olduğu aşikar,goodolddayz1314,05.01.2024 10:56,10:57
kesin seçilir hemen aday gösterin. 6 şubat depreminde bu arkadaş bakandı değil mi? kendisi çok namuslu ve şerefli bir adaydır.,sektirmezoglu,05.01.2024 10:58,null
istanbul'da karadenizli olmayan adayın şansı zordur. karadeniz lobisi güçlüdür.,dementorb,05.01.2024 11:05,null
"badem bıyık, orman katliamlarının suskun yüzü, depremde verdiği sözlerin %30'unu yerine getiremememiş, belki de yerine gelen bakanın; ""bu sözler önceki bakanın sözleriydi kardeşim benimle ne alakası var?"" diyebilmesi için bakanlıktan alınmış alelade kişilik.(bkz: ekrem imamoğlu) wins!",pili diliyle kontrol eden adam,05.01.2024 11:07,null
"aday buysa ""zaten kaybediyoruz, bari bunu harcayalim"" diye düşünmüşlerdir. ali yerlikaya bakan olarak soylu gibileri bitirip sarayın istediği dosyaları hazırlıyor, o işine devam etsin demişlerdir.damat açıklanır ve kaybederse erdoğan sonrası ellerinde aileden kimse kalmamış olacak. o riski belediye seçimi için almak istememiş olabilirler. berat ve bilal zaten kendi kendilerini imha ettiler. selçuk hazırlanıyor ama onda da pek siyasetçi kumaşı yok. her şeye rağmen imamoğlu karşısında en güçlü aday selçuk'tu. belki tepkilerden sonra pazar günü selçuk diyebilirler.",yasayayazdim,05.01.2024 11:08,null
eğer aday olursa imamın yanında şansı sıfır olan kişi.,journey,05.01.2024 11:11,null
şahsından ve badem bıyıklarından nefret ediyorum.imamoğlu çerez niyetine yer bu bademi.,nejat amca,05.01.2024 11:12,null
"akp'nin bu adamı imamoğlu'nun karşısına çıkarması, kılıçdaroğlu'nun cumhurbaşkanı adayı olmasıyla aynı şey bence. chp'nin imajı bu kadar zayıflamışken ve akp'nin her kesimin oylarını alabilecek güçlü bir adayla seçimi kazanması olasıyken, murat kurum'u aday göstereceğine pek olanak vermiyorum.",nizamulmulk,05.01.2024 11:12,null
bacalarda biriken murat'tır,siparisi koreden 75 gunde gelen adam,05.01.2024 11:17,null
ali yerlikaya'dan daha güçsüz bir aday. seçim kampanyasında kentsel dönüşüm temasını kullanacak büyük ihtimalle. istanbul halkı pasif tipleri sevmez. kusura bakmasın ama kendisinin inanılmaz sıkıcı bir tipi var. mıy mıy konuşup iki lafı bir araya getiremeyecek birisi.,oplevelse,05.01.2024 11:19,null
ıııyyy orda yaşasam sırf tipten dolayı bile oy vermem,01deniz,05.01.2024 11:19,null
"oh, sonunda bana da nasip oldu:murat kurum kim alüminyum?",beat junkie,05.01.2024 11:25,11:28
ekrem imamoğlu’na oy vermeyecek bir seçmen olarak şansını düşük bulduğum aday.,holyangemon,05.01.2024 11:25,null
akp'nin istanbul'da görünen yüzü. akp'lidir ne eksik ne fazla...,desifreolannick,05.01.2024 11:35,null
bir deprem ülkesinde kendi bakanlığınca çıkarılan imar affı yasası'nı halkımıza izah etmek zorunda olan bakan. edit: kanunun adı imar affı değil imar barışı olacak. hatalı yazmışım.,cift l li entellektuel,25.01.2020 13:29,27.01.2020 13:08
"mevcut kabinede en verimli, en çalışkan ve en uyumlu bakan imajını veriyor. kendisinin bakanlığı hak eden tek kişi olduğunu düşünüyorum. dürüst ve iyi niyetli bir imajı var umarım yanılmıyorumdur.",dal,29.01.2020 00:41,null
"biyikli cocuk diyorum ben buna, tam bir cocuk kafasi ve yuzune sahip, bunun farkinda ki biraz olgunluk katmak icin biyik birakmis.",3com,30.01.2020 09:45,null
diğer bakanlar için aynı şeyleri söyleyemem ama bu adam konusuna hakim ve işini fedakarca yapıyor gibi görünüyor. tanım: çevre ve şehircilik bakanı,bilmiyorumabicimzorlamabeni,14.02.2020 15:54,null
"insanda ""ben her şey olabilirim lan"" fikri oluşturan bakanlarımızdan. dıştan bakınca için ne olduğu anlaşılıyor az çok. gerçi son yıllardaki kabinedeki bakanlarımızın hepsinin maşallah bundan aşağı kalır yanı yok.",aba get ote gi bam,24.02.2020 11:51,null
birisi 9500 liraya tesbih almış. ama kim olduğunu söylemem.,gosuhcl,07.05.2020 07:33,null
sürekli tv’de görüp özel harekat polisi sandığım çevre ve şehircilik bakanı. galiba bıyık şekli pöhlere benziyor ondan dolayı böyle bir havası var.,cumartesi gecesi evde oturan ezik,11.05.2020 10:15,null
"dünya çevre gününde millet bahçeleri açılış töreni'nde konuştu az önce ve topluluğa hitap etmesine rağmen her cümlesinde tekrar eden ""sayın cumhurbaşkanım"" ve ""zat-ı alileriniz"" sözlerinden dolayı itici bir konuşmaydı",gruptakisessizadam,05.06.2020 15:26,null
"haliç'teki koyu renkli görüntünün sebebinin alg olduğunu bile bile, (bilmiyorsa daha kötü) sırf siyasi tarafı nedeniyle ekrem imamoğlu ve ibb'ye saldıran bakan. bu görüntünün daha önce de ortaya çıktığını, doğal sebeplerle olduğunu ve zamanla düzeldiğini bilmiyor olması bir utanç, biliyorsa da buna rağmen bu açıklamayı yapması başka bir utanç. kendisini hayatım boyunca böyle hatırlayacağım.",pluton un sucu ne,13.06.2020 21:58,null
"zamaninda daha bakan olmamisken su girdimde o cv ile emlak konut genel mudurlugu, ilginc demisim. niyeyse cv’sini ilgili baglantiya yonlendirmemisim. buyrun buradan bakin. hele ki santiyeci arkadaslar cv’yi incelediklerinde neyin ne oldugunu iyice anlayacaklar. bizim 5-6 yillik tekniker arkadaslar bu adamdan daha cok santiyede bulunmuslar. cv’nin tamami bildigin hikaye de, ozellikle toki bolumleri evlere senlik. bir sene (2005-2006) arasinda 7 ayri ilde 24 ayri santiyenin kontrollugu. bir senede 7 ayri il ve 24 santiye bakin tekrar soyluyorum. neyi kontrol edebilmistir siz dusunun ustune o bir sene sonunda toki’de uygulama sube mudurlugune gec ve 3 sene icerisinde de sube mudurlugunden daire baskanlagina (vekaleten ama) oradan emlak konut yonetim kuruluna ve yine o 3 yil icerisinde emlak konut genel mudurlugune. murat kurum olmak varmis bu hayatta.duzeltme: 3 kusur sene once yazdigim bu giride linkini verdigim cv emlak konut sayfasindan kaldirilmis, biraz arastirdim ama bulamadim. bulabilirsem duzeltir tekrar yuklerim.düzeltme 2: @b1916 sagolsun webarchive kullanarak bulmus bana mesaj atti. buradan inceleyebilirsiniz.",sam spade,13.06.2020 22:29,07.01.2024 15:52
"dendigi kadar var, bu suratla akpli olmaktan baska sansi yokmus bu adamin.aday ise imamoglu karsisinda sansi hic yok.",arran,05.01.2024 08:37,null
popülarite anlamında binali'den daha zayıf bir aday.doğruysa eko'nun ikinci dönemi hayırlı olsun.,brunoanthony,05.01.2024 08:45,null
"aktrollerin sabah sabah parlatma çalışması yaptığı ak partili siyasetçi.beklenen istanbul depremi öncesi istanbul u 5 sene yönetmesi gereken siyasetçiymiş. bak bak bak, 25 sene bunların kafası yönetmedi sanki istanbul u. iktidara geldikleri gün biliniyordu istanbul da deprem olacağı. 20 yıl bir şey yapma, sonra imamoğlu gitmeli çünkü deprem olacak. biraz daha zeki olun lütfen aktroll kardeşler. paranızın hakkını verin en azından.",sea the stars,05.01.2024 09:19,09:22
"beklenen büyük istanbul depremi için seçilmesi gereken kişidir. kendisine oy vermek için pazar günümü çocuğumla geçirmek yerine kalkıp gidip, 1 saat sıra bekleyip, park yeri çilesi çekip oy verir miyim çok emin değilim. online olsaydı belki *",mmmeeeddd,05.01.2024 09:52,null
"ibb adaylığı kesinleşirse ekrem imamoğlu yeniden başkan seçilecektir, kendini yormasına bile gerek kalmayacaktır.",dilinde yalan olmayan adam,05.01.2024 09:59,null
"belediye seçimlerini kazanmak için istanbul'un dümdüz olmasını, yüzbinlerce insanın ölmesini sebep gösteren bazı seçmenler tarafından övülen ibb başkan aday adayıdır.ekrem imamoğlu'nun yetkilerini alıp bakanlığa devredeceksin, imamoğlu'nun elini kolunu bağlayacaksın, bütçesini daralıp parasını keseceksin, belediye meclisi aracılığı ile iş yapmasına engel olacaksın, sonra vay efendim deprem olacak murat kurum gelsin. siyasal islam'ı yaşatmak için her şey mübah anladık ama bu kadar da değil ak troller. bu kadar aşağılık yaratıklar olamazsınız. sizi gidi aşağılık insan müsveddeleri sizi.",whiskey hotel,05.01.2024 10:07,null
"erdoğan son cumhurbaşkanlığı seçiminde kılıçdaroğlu'na bile 52-48 kaybettiği istanbul'da, ekrem imamoğlu'nun karşısına çıkması beklenen aday. bu şekilde okuyunca sonuç belli oluyor zaten. unutma, unutturma: çıkarılan imar affıyla birçok masum insanın ölümüne sebep olanlardandır.",meengu,05.01.2024 10:19,13:04
yüksek ihtimalle önümüzdeki pazar günü cumhur ittifakının ibb belediye başkan adayı olarak açıklayacağı kişidir. yine yüksek ihtimalle mart ayında ibb belediye başkanı olacaktır,meastrator,05.01.2024 10:19,null
"ankara/konya hattından bir adayla istanbul'da zor, en başta trabzonlu uşaklar safları sıklaştırır",thedoomsdaykiller,05.01.2024 10:29,null
